Athlete ID,Athlete Name,Position,Field Time,Total Distance,Velocity Distance Band 4,Velocity Distance Band 5,High Speed Distance,Velocity Effort Band 5,High Speed Effort,Acceleration Bands 1-3 Efforts,Deceleration Bands 1-3 Efforts
"6d85d316-32b1-40a5-9059-43aee5b748e0","ANDERSON, Madelynn","Gardienne",,,,,,,,,
"fa57e975-b595-4e3e-b5f2-83e1d6efc171","ARCHIER, Louann","Attaquante",,,,,,,,,
"04d057f6-c585-41de-8f60-c4d199dbc612","BERTRAND, Clara","Sentinelle",,,,,,,,,
"a2254cfa-21f7-4b00-9a42-44c4185d40a9","BOUCHARD, Ambre","Gardienne",,,,,,,,,
"96a0669e-4023-405c-962d-2a03f62c0255","DAVID, Tess","Sentinelle",,,,,,,,,
"4841ce3b-c91e-4e25-ae6c-1fc482ae3f71","EL GHAZOUANI, Fatima","Défenseur Central",,,,,,,,,
"feb2c12e-a610-4a61-a54e-b40307395226","EL KOUMIR, Kaina","Attaquante",,,,,,,,,
"f4439daf-87c9-41e6-9685-b7f2aca6962e","EVRARD, Julia","Sentinelle",,,,,,,,,
"c3dacd6e-c847-43b0-aca6-b4fb47ecd2e5","GBEDJISSI, Aude","Attaquante",,,,,,,,,
"754028df-0fff-40a7-841f-e1b2ea729f6b","GUELLATI, Sofia","Défenseur Central",,,,,,,,,
"59968fd7-ff1a-4dca-8b85-535e7d3f4772","JEUDY, Sherly","Attaquante",,,,,,,,,
"ff698ced-1fc0-40e5-bf3e-a715ed5e1778","JEZEQUEL, Emmy","Défenseur Central",,,,,,,,,
"3510852e-588e-40fe-b5ed-a43375d182aa","JOLY, Blandine","Gardienne",,,,,,,,,
"d296da45-8127-42b6-bfc7-4dc0bfd96474","KAZANDJIAN, Lara","Sentinelle",,,,,,,,,
"8a13c921-9cb2-4998-bc64-5ae1c03f9cdf","LEJEUNE, Romane","Défenseur Central",,,,,,,,,
"e366303d-f10d-4fcf-ba29-dbd4d9e7d5d3","LIMAGE, Jennifer","Défenseur Central",,,,,,,,,
"7fef543d-885f-4707-a68b-68835860106c","MEREAU, Alizée","Attaquante",,,,,,,,,
"63c1e10c-f220-4260-a663-fa707c8faaaf","MEUNIER, Jennifer","Piston",,,,,,,,,
"434a9870-2c50-4cc4-a4c1-da3b76ab32dd","MILLEQUANT, Lizzy","Attaquante",,,,,,,,,
"c09fab9c-c6be-44ab-a7be-c114047b863a","OILLIC, Laureen","Défenseur Central",,,,,,,,,
"d76cda88-d2ae-445e-b126-c584bee77d5e","PIERRE LOUIS, Dayana","Sentinelle",,,,,,,,,
"dfd96428-8a6e-42d2-a377-ea3a4c3e8a5f","PINOT, Laurine","Défenseur Central",,,,,,,,,
"ea15de67-eb64-4641-b115-ac2d30ee7608","POLITO, Carla","Sentinelle",,,,,,,,,
"aafb72d8-3393-488c-9c30-ed25af44cf6e","PRONIEZ, Fany","Piston",,,,,,,,,
"6f7a0c5f-0b22-47d3-8ea7-48e3729990ea","REMILI, Celia","Gardienne",,,,,,,,,
"0bc8818f-f0f9-46ef-83b8-8cd414087308","REVELLI, Manon","Piston",,,,,,,,,
"8e2258fb-86be-4abc-a78b-6de8a1defdc3","SMAALI, Emma","Défenseur Central",,,,,,,,,
"addeec8f-d4be-4396-9da5-70d8c37c668c","VAGRE, Naomie","Attaquante",,,,,,,,,
