Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"PSG U19 - RCL",47,4766.2002,1210.89001,475.51999,140.37,5.82,0,7,14,10,0,24.35386,102.43321
"Louann ARCHIER - MT 1",Attaquante,"PSG U19 - RCL",46,5243.75732,1168.43994,578.96997,402.64001,107.25,42.31,17,13,32,9,27.5906,112.79202
"Louann ARCHIER - MT 2",Attaquante,"PSG U19 - RCL",19,1909.47021,387.73001,130.34,112.74,60.25,56.39,4,4,10,6,30.02647,98.57789
"Clara BERTRAND - MT 1","Milieu Défensif","PSG U19 - RCL",46,5386.05176,1658.41003,687.67999,136.05,0,0,8,15,8,0,22.75268,115.85274
"Tess DAVID - MT 2","Milieu Défensif","PSG U19 - RCL",47,4706.06836,1318.64001,408.51001,91.12,3.6,0,1,9,7,0,23.4239,101.14088
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","PSG U19 - RCL",21,1494.11072,308.76999,82.22,20.9,0,0,1,2,2,0,20.96047,70.05833
"Kaina EL KOUMIR - MT 2",Attaquante,"PSG U19 - RCL",47,4196.82764,1160.43005,354.17999,96.35,4.07,11.4,6,10,7,1,27.05803,90.19649
"Aude GBEDJISSI - MT 1",Attaquante,"PSG U19 - RCL",46,5015.70996,1345.40002,390.04001,175.3,70.86,55.09,8,20,17,7,28.49064,107.88677
"Aude GBEDJISSI - MT 2",Attaquante,"PSG U19 - RCL",22,2495.896,623.38,204.09,128.82001,42.31,24.27,4,15,12,5,27.1021,111.15596
"Sherly JEUDY - MT 1",Attaquante,"PSG U19 - RCL",46,4518.12061,1127.53003,400.91,116.26,47.96,23.84,4,8,10,5,26.98559,97.18374
"Sherly JEUDY - MT 2",Attaquante,"PSG U19 - RCL",47,4349.55273,1011.72998,449.79999,233.05,69.25,4.55,6,14,18,4,25.34741,93.47879
"Blandine JOLY - MT 1",Gardienne,"PSG U19 - RCL",46,2284.2522,151.08,33.92,0,0,0,1,2,0,0,18.92228,49.13374
"Blandine JOLY - MT 2",Gardienne,"PSG U19 - RCL",47,2350.28784,207.34,37.41,4.02,0,0,2,2,0,0,19.74175,50.51142
"Alizée MEREAU - MT 1",Attaquante,"PSG U19 - RCL",46,4879.69922,1365.79004,391.20001,128.35001,46.77,34.4,9,13,16,6,27.77566,104.96121
"Dayana PIERRE LOUIS - MT 1","Milieu Défensif","PSG U19 - RCL",46,4561.18164,1432.91003,361.07999,37.84,5.9,4.01,3,6,3,1,26.05451,98.10997
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","PSG U19 - RCL",47,4195.74121,1164.27002,379.48001,126.81,19.71,0,2,4,8,1,25.12616,90.17314
"Laurine PINOT - MT 2",Piston,"PSG U19 - RCL",47,4694.66162,1363.81995,484.34,194.03999,21.36,0,4,7,11,2,24.06096,100.89573
"Carla POLITO - MT 1","Milieu Défensif","PSG U19 - RCL",46,4716.08838,1218.16003,436.34,161.03999,47.49,0,3,2,14,2,25.04298,101.44198
"Carla POLITO - MT 2","Milieu Défensif","PSG U19 - RCL",47,4495.74902,1291.38,280.42999,143.78,26.22,0,1,5,9,1,23.88182,96.62079
"Fany PRONIEZ - MT 1",Piston,"PSG U19 - RCL",46,4481.81787,1026.91003,423.17999,179.84,39.63,5.35,9,17,15,3,26.51559,96.40288
"Fany PRONIEZ - MT 2",Piston,"PSG U19 - RCL",27,2542.49854,511.59,278.06,166.50999,55.35,11.42,6,10,14,5,27.70732,93.61302
"Emma SMAALI - MT 1","Défenseur Central","PSG U19 - RCL",46,4283.60059,932.60999,423.10999,169.5,8.35,0,4,5,11,1,23.84221,92.13927
"Emma SMAALI - MT 2","Défenseur Central","PSG U19 - RCL",47,4074.18262,901.53003,327.87,154.03999,26.46,0,3,9,9,2,23.86137,87.56065
"Naomie VAGRE - MT 1",Piston,"PSG U19 - RCL",46,4681.23291,1203.76001,443.44,142.94,4.48,0,2,8,9,0,23.512,100.69225
